,hospital_pk,collection_week,state,ccn,hospital_name,address,city,zip,hospital_subtype,fips_code,is_metro_micro,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_patients_hospitalized_confirmed_influenza_7_day_avg,icu_patients_confirmed_influenza_7_day_avg,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum,total_patients_hospitalized_confirmed_influenza_7_day_sum,icu_patients_confirmed_influenza_7_day_sum,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum,total_beds_7_day_coverage,all_adult_hospital_beds_7_day_coverage,all_adult_hospital_inpatient_beds_7_day_coverage,inpatient_beds_used_7_day_coverage,all_adult_hospital_inpatient_bed_occupied_7_day_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_adult_patients_hospitalized_confirmed_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_coverage,total_pediatric_patients_hospitalized_confirmed_covid_7_day_coverage,inpatient_beds_7_day_coverage,total_icu_beds_7_day_coverage,total_staffed_adult_icu_beds_7_day_coverage,icu_beds_used_7_day_coverage,staffed_adult_icu_bed_occupancy_7_day_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_coverage,staffed_icu_adult_patients_confirmed_covid_7_day_coverage,total_patients_hospitalized_confirmed_influenza_7_day_coverage,icu_patients_confirmed_influenza_7_day_coverage,total_patients_hospitalized_confirmed_influenza_and_covid_7_day_coverage,previous_day_admission_adult_covid_confirmed_7_day_sum,previous_day_admission_adult_covid_confirmed_18_19_7_day_sum,previous_day_admission_adult_covid_confirmed_20_29_7_day_sum,previous_day_admission_adult_covid_confirmed_30_39_7_day_sum,previous_day_admission_adult_covid_confirmed_40_49_7_day_sum,previous_day_admission_adult_covid_confirmed_50,previous_day_admission_adult_covid_confirmed_60,previous_day_admission_adult_covid_confirmed_70,previous_day_admission_adult_covid_confirmed_80,previous_day_admission_adult_covid_confirmed_unknown_7_day_sum,previous_day_admission_pediatric_covid_confirmed_7_day_sum,previous_day_covid_ed_visits_7_day_sum,previous_day_admission_adult_covid_suspected_7_day_sum,previous_day_admission_adult_covid_suspected_18,previous_day_admission_adult_covid_suspected_20,previous_day_admission_adult_covid_suspected_30,previous_day_admission_adult_covid_suspected_40,previous_day_admission_adult_covid_suspected_50,previous_day_admission_adult_covid_suspected_60,previous_day_admission_adult_covid_suspected_70_79_7_day_sum,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_unknown_7_day_sum,previous_day_admission_pediatric_covid_suspected_7_day_sum,previous_day_total_ed_visits_7_day_sum,previous_day_admission_influenza_confirmed_7_day_sum,geocoded_hospital_address,hhs_ids,previous_day_admission_adult_covid_confirmed_7_day_coverage,previous_day_admission_pediatric_covid_confirmed_7_day_coverage,previous_day_admission_adult_covid_suspected_7_day_coverage,previous_day_admission_pediatric_covid_suspected_7_day_coverage,is_corrected,:@computed_region_pqdx_y6mm
0,262013,2021-09-17T00:00:00.000,MO,262013.0,SELECT SPECIALTY HOSPITAL-ST LOUIS,300 FIRST CAPITOL DRIVE,SAINT CHARLES,63301,Long Term,29183.0,true,71.0,71.0,71.0,62.0,62.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71,71,62.0,62,0,0,0,0,71.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,"{'type': 'Point', 'coordinates': [-90.484508, 38.780377]}","[C262013-A, C262013-B]",1,1,1,1,False,26.0
1,340051,2021-09-17T00:00:00.000,NC,340051.0,WATAUGA MEDICAL CENTER,336 DEERFIELD ROAD,BOONE,28607,Short Term,37189.0,true,77.0,73.0,73.0,44.0,41.0,0.0,0.0,0.0,0.0,77.0,17.0,17.0,6.0,6.0,5.3,4.5,0.0,0.0,0.0,231.0,219,219,132.0,123,0,0,0,0,231.0,51,34.0,12.0,12.0,16,9.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,5,0.0,0.0,-999999.0,0.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,193,0.0,"{'type': 'Point', 'coordinates': [-81.652423, 36.198753]}",[C340051-A],3,3,3,3,False,34.0
2,500027,2021-09-17T00:00:00.000,WA,500027.0,SWEDISH MEDICAL CENTER,747 BROADWAY,SEATTLE,98122,Short Term,53033.0,true,559.0,443.0,443.0,465.0,366.5,27.0,25.5,0.0,0.0,559.0,100.0,38.0,38.0,29.5,12.0,12.0,0.0,0.0,0.0,1118.0,886,886,930.0,733,54,51,0,0,1118.0,200,76.0,76.0,59.0,24,24.0,0.0,0.0,0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-999999,0.0,0.0,-999999.0,-999999.0,0.0,0.0,0.0,-999999.0,0.0,0,16,-999999,0.0,0.0,0.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,0,351,0.0,"{'type': 'Point', 'coordinates': [-122.320767, 47.60924]}","[C500027-A, C500027-B]",2,2,2,2,False,48.0
3,241333,2021-09-17T00:00:00.000,MN,241333.0,MAYO CLINIC HEALTH SYSTEM - ST JAMES,1101 MOULTON AND PARSONS DRIVE,ST JAMES,56081,Critical Access Hospitals,27165.0,false,19.0,19.0,13.0,9.0,9.0,-999999.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19,13,9.0,9,-999999,0,0,0,13.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,0.0,"{'type': 'Point', 'coordinates': [-94.621515, 43.96949]}",[C241333-A],1,1,1,1,False,24.0
4,440091,2021-09-17T00:00:00.000,TN,440091.0,"MEMORIAL HEALTHCARE SYSTEM, INC",2525 DESALES AVE,CHATTANOOGA,37404,Short Term,47065.0,true,634.0,634.0,547.0,352.0,352.0,109.7,109.7,0.0,0.0,547.0,115.0,115.0,50.0,50.0,16.3,16.3,,,,1902.0,1902,1641,1056.0,1056,329,329,0,0,1641.0,345,345.0,150.0,150.0,49,49.0,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,21,0.0,0.0,0.0,-999999.0,6.0,5.0,-999999.0,4.0,0.0,0,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,533,,"{'type': 'Point', 'coordinates': [-85.261129, 35.040037]}","[C440091-A, C440091-B]",3,3,3,3,False,43.0
5,140143,2021-09-17T00:00:00.000,IL,140143.0,ST MARGARET'S HEALTH SPRING VALLEY,600 E 1ST ST,SPRING VALLEY,61362,Short Term,17011.0,true,44.0,44.0,44.0,19.3,19.3,-999999.0,-999999.0,0.0,0.0,44.0,6.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,132.0,132,132,58.0,58,7,7,0,0,132.0,18,18.0,12.0,12.0,0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-999999,0.0,0.0,-999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,78,0.0,"{'type': 'Point', 'coordinates': [-89.192633, 41.328409]}",[C140143-A],3,3,3,3,False,14.0
6,170014,2021-09-17T00:00:00.000,KS,170014.0,ADVENTHEALTH OTTAWA,1301 S MAIN STREET,OTTAWA,66067,Short Term,20059.0,true,56.0,56.0,44.0,19.0,19.0,7.0,7.0,0.0,0.0,44.0,6.0,6.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,0.0,56.0,56,44,19.0,19,7,7,0,0,44.0,6,6.0,-999999.0,-999999.0,-999999,-999999.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,0.0,"{'type': 'Point', 'coordinates': [-95.268759, 38.597285]}",[C170014-A],1,1,1,1,False,17.0
7,440011,2021-09-17T00:00:00.000,TN,440011.0,BLOUNT MEMORIAL HOSPITAL,907 E LAMAR ALEXANDER PARKWAY,MARYVILLE,37804,Short Term,47009.0,true,312.0,312.0,269.0,160.3,160.3,67.0,67.0,0.0,0.0,269.0,32.0,32.0,26.0,26.0,21.0,21.0,,,,936.0,936,807,481.0,481,67,67,0,0,807.0,96,32.0,26.0,26.0,21,21.0,,,,3,3,3,3,3,1,1,1,1,3,3,1,1,1,1,1,0,0,0,8,0.0,-999999.0,0.0,-999999.0,-999999.0,-999999.0,0.0,-999999.0,0.0,0,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,117,,"{'type': 'Point', 'coordinates': [-83.959383, 35.754983]}",[C440011-A],1,1,1,1,False,43.0
8,140281,2021-09-17T00:00:00.000,IL,140281.0,NORTHWESTERN MEMORIAL HOSPITAL,251 E HURON ST,CHICAGO,60611,Short Term,17031.0,true,1200.0,1114.0,937.0,810.3,753.7,39.0,36.7,0.0,0.0,1023.0,201.0,115.0,157.7,101.0,12.0,11.7,,,,3600.0,3342,2811,2431.0,2261,117,110,0,0,3069.0,603,345.0,473.0,303.0,36,35.0,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,11,0.0,0.0,-999999.0,-999999.0,4.0,-999999.0,-999999.0,-999999.0,0.0,0,27,-999999,0.0,0.0,0.0,0.0,0.0,-999999.0,0.0,0.0,0.0,0,774,,"{'type': 'Point', 'coordinates': [-87.621364, 41.894995]}",[C140281-A],3,3,3,3,False,
9,261306,2021-09-17T00:00:00.000,MO,261306.0,SULLIVAN COUNTY MEMORIAL HOSPITAL,630 WEST THIRD STREET,MILAN,63556,Critical Access Hospitals,29211.0,false,11.0,11.0,11.0,5.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11,11,5.0,5,0,0,0,0,11.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,"{'type': 'Point', 'coordinates': [-93.131136, 40.202174]}",[C261306-A],1,1,1,1,False,26.0
