,covid,corona virus,covid19,delta variant,vaccine,isPartial1,covid variant,corona virus variant,corona variant,isPartial2
2020-01-05,0,0,0,0,1,False,0,0,0,False
2020-01-12,0,0,0,0,1,False,0,0,0,False
2020-01-19,0,2,0,0,1,False,0,0,0,False
2020-01-26,0,9,0,0,2,False,0,0,0,False
2020-02-02,0,6,0,0,1,False,0,0,0,False
2020-02-09,0,5,0,0,1,False,0,0,0,False
2020-02-16,0,4,0,0,1,False,0,0,0,False
2020-02-23,2,13,0,0,2,False,0,0,0,False
2020-03-01,7,23,1,0,3,False,0,0,0,False
2020-03-08,30,50,4,0,4,False,0,0,0,False
2020-03-15,78,56,10,0,5,False,0,0,0,False
2020-03-22,91,39,10,0,3,False,0,0,0,False
2020-03-29,97,26,10,0,3,False,0,0,0,False
2020-04-05,83,18,8,0,3,False,0,0,0,False
2020-04-12,66,11,5,0,3,False,0,0,0,False
2020-04-19,62,8,4,0,3,False,0,0,0,False
2020-04-26,58,7,3,0,3,False,0,0,0,False
2020-05-03,54,6,3,0,3,False,0,0,0,False
2020-05-10,53,5,2,0,3,False,0,0,0,False
2020-05-17,51,4,2,0,4,False,0,0,0,False
2020-05-24,45,3,2,0,2,False,0,0,0,False
2020-05-31,38,2,1,0,2,False,0,0,0,False
2020-06-07,43,2,1,0,2,False,0,0,0,False
2020-06-14,51,2,2,0,3,False,0,0,0,False
2020-06-21,67,3,2,0,3,False,0,0,0,False
2020-06-28,77,3,2,0,3,False,0,0,0,False
2020-07-05,77,2,1,0,3,False,0,0,0,False
2020-07-12,81,2,1,0,5,False,0,0,0,False
2020-07-19,70,2,1,0,4,False,0,0,0,False
2020-07-26,70,2,1,0,4,False,0,0,0,False
2020-08-02,62,1,1,0,3,False,0,0,0,False
2020-08-09,55,1,1,0,4,False,0,0,0,False
2020-08-16,51,1,1,0,4,False,0,0,0,False
2020-08-23,45,1,1,0,3,False,0,0,0,False
2020-08-30,49,1,1,0,4,False,0,0,0,False
2020-09-06,42,1,1,0,4,False,0,0,0,False
2020-09-13,40,1,0,0,4,False,0,0,0,False
2020-09-20,42,1,0,0,3,False,0,0,0,False
2020-09-27,52,1,1,0,3,False,0,0,0,False
2020-10-04,55,1,1,0,3,False,0,0,0,False
2020-10-11,49,1,0,0,3,False,0,0,0,False
2020-10-18,52,1,0,0,4,False,0,0,0,False
2020-10-25,57,1,1,0,3,False,0,0,0,False
2020-11-01,48,1,0,0,2,False,0,0,0,False
2020-11-08,77,1,1,0,8,False,0,0,0,False
2020-11-15,100,1,1,0,8,False,0,0,0,False
2020-11-22,75,1,1,0,6,False,0,0,0,False
2020-11-29,77,1,1,0,9,False,0,0,0,False
2020-12-06,84,1,1,0,15,False,0,0,0,False
2020-12-13,84,1,1,0,22,False,1,0,0,False
2020-12-20,85,1,1,0,16,False,7,0,0,False
2020-12-27,87,1,1,0,19,False,16,0,0,False
2021-01-03,86,1,1,0,25,False,10,0,0,False
2021-01-10,90,1,1,0,38,False,6,0,0,False
2021-01-17,83,1,1,0,38,False,9,0,0,False
2021-01-24,83,1,1,0,40,False,16,0,0,False
2021-01-31,73,1,1,0,39,False,9,0,0,False
2021-02-07,72,0,0,0,40,False,8,0,0,False
2021-02-14,63,0,0,0,35,False,6,0,0,False
2021-02-21,66,0,0,0,40,False,8,0,0,False
2021-02-28,76,0,0,0,54,False,6,0,0,False
2021-03-07,85,0,1,0,63,False,6,0,0,False
2021-03-14,75,0,0,0,58,False,6,0,0,False
2021-03-21,75,0,0,0,58,False,7,0,0,False
2021-03-28,78,0,0,0,61,False,8,0,0,False
2021-04-04,72,0,0,0,60,False,12,0,0,False
2021-04-11,61,0,0,0,46,False,8,0,0,False
2021-04-18,54,0,0,0,32,False,7,0,0,False
2021-04-25,60,0,0,0,34,False,8,0,0,False
2021-05-02,48,0,0,0,26,False,8,0,0,False
2021-05-09,47,0,0,0,26,False,5,0,0,False
2021-05-16,42,0,0,0,23,False,4,0,0,False
2021-05-23,35,0,0,0,18,False,3,0,0,False
2021-05-30,32,0,0,0,15,False,4,0,0,False
2021-06-06,30,0,0,0,14,False,10,0,0,False
2021-06-13,30,0,0,1,14,False,24,0,0,False
2021-06-20,28,0,0,2,12,False,29,0,1,False
2021-06-27,27,0,0,4,12,False,42,0,1,False
2021-07-04,29,0,0,3,12,False,38,0,1,False
2021-07-11,35,0,0,3,13,False,43,0,0,False
2021-07-18,49,0,0,5,17,False,66,0,1,False
2021-07-25,63,0,0,6,21,False,81,0,1,False
2021-08-01,90,0,0,7,37,False,100,0,1,False
2021-08-08,87,0,0,5,27,False,78,0,1,False
2021-08-15,84,0,0,4,26,False,56,0,1,False
2021-08-22,87,0,0,3,27,False,45,0,0,False
2021-08-29,90,0,0,2,30,False,63,0,1,False
2021-09-05,71,0,0,2,20,False,53,0,0,False
2021-09-12,65,0,0,1,20,True,22,0,0,True
