,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,geoName,covid,corona virus,covid19,delta variant,vaccine,covid variant,corona virus variant,corona variant
0,0,0,0,Alabama,74,5,1,1,19,100,0,0
1,1,1,1,Alaska,79,5,1,0,15,100,0,0
2,2,2,2,Arizona,74,6,1,0,19,99,0,1
3,3,3,3,Arkansas,77,5,1,1,16,100,0,0
4,4,4,4,California,72,7,1,0,20,98,0,2
5,5,5,5,Colorado,75,5,1,0,19,98,0,2
6,6,6,6,Connecticut,72,5,1,0,22,99,0,1
7,7,7,7,Delaware,73,5,1,0,21,100,0,0
8,8,8,8,District of Columbia,73,5,1,0,21,100,0,0
9,9,9,9,Florida,71,6,1,0,22,98,0,2
10,10,10,10,Georgia,74,5,1,0,20,99,0,1
11,11,11,11,Hawaii,75,6,2,0,17,98,0,2
12,12,12,12,Idaho,77,7,1,0,15,100,0,0
13,13,13,13,Illinois,74,5,1,0,20,100,0,0
14,14,14,14,Indiana,75,5,1,0,19,100,0,0
15,15,15,15,Iowa,76,4,1,0,19,100,0,0
16,16,16,16,Kansas,76,5,1,0,18,100,0,0
17,17,17,17,Kentucky,76,4,2,0,18,100,0,0
18,18,18,18,Louisiana,74,6,1,1,18,98,0,2
19,19,19,19,Maine,73,6,1,0,20,100,0,0
20,20,20,20,Maryland,72,5,1,0,22,99,0,1
21,21,21,21,Massachusetts,72,5,1,0,22,99,0,1
22,22,22,22,Michigan,75,5,1,0,19,99,0,1
23,23,23,23,Minnesota,77,5,1,0,17,99,0,1
24,24,24,24,Mississippi,74,6,1,1,18,99,0,1
25,25,25,25,Missouri,75,5,1,0,19,100,0,0
26,26,26,26,Montana,80,5,1,0,14,100,0,0
27,27,27,27,Nebraska,78,4,1,0,17,100,0,0
28,28,28,28,Nevada,74,6,1,0,19,99,0,1
29,29,29,29,New Hampshire,75,5,1,0,19,100,0,0
30,30,30,30,New Jersey,69,6,1,0,24,99,0,1
31,31,31,31,New Mexico,75,7,1,0,17,100,0,0
32,32,32,32,New York,70,6,1,0,23,98,0,2
33,33,33,33,North Carolina,74,5,2,0,19,99,0,1
34,34,34,34,North Dakota,78,6,1,0,15,100,0,0
35,35,35,35,Ohio,73,6,1,0,20,99,0,1
36,36,36,36,Oklahoma,76,6,1,0,17,100,0,0
37,37,37,37,Oregon,74,5,1,0,20,99,0,1
38,38,38,38,Pennsylvania,72,5,1,0,22,98,0,2
39,39,39,39,Rhode Island,73,6,1,0,20,100,0,0
40,40,40,40,South Carolina,75,5,1,0,19,100,0,0
41,41,41,41,South Dakota,81,4,2,0,13,100,0,0
42,42,42,42,Tennessee,76,5,1,0,18,99,0,1
43,43,43,43,Texas,74,6,1,0,19,99,0,1
44,44,44,44,Utah,76,6,1,0,17,100,0,0
45,45,45,45,Vermont,77,5,1,0,17,100,0,0
46,46,46,46,Virginia,73,5,1,0,21,99,0,1
47,47,47,47,Washington,73,6,1,0,20,99,0,1
48,48,48,48,West Virginia,75,5,2,0,18,100,0,0
49,49,49,49,Wisconsin,77,5,1,0,17,99,0,1
50,50,50,50,Wyoming,78,6,2,0,14,100,0,0
51,51,51,Alabama,,74,0,0,0,26,100,0,0
52,52,52,Alaska,,79,0,0,1,20,100,0,0
53,53,53,Arizona,,76,0,0,1,23,100,0,0
54,54,54,Arkansas,,77,0,0,1,22,100,0,0
55,55,55,California,,75,0,0,1,24,100,0,0
56,56,56,Colorado,,76,0,0,1,23,100,0,0
57,57,57,Connecticut,,75,0,0,1,24,100,0,0
58,58,58,Delaware,,75,0,0,2,23,100,0,0
59,59,59,District of Columbia,,76,0,0,2,22,100,0,0
60,60,60,Florida,,76,0,0,1,23,100,0,0
61,61,61,Georgia,,76,0,0,1,23,100,0,0
62,62,62,Hawaii,,74,0,0,1,25,100,0,0
63,63,63,Idaho,,80,0,0,0,20,100,0,0
64,64,64,Illinois,,76,0,0,0,24,100,0,0
65,65,65,Indiana,,76,0,0,1,23,100,0,0
66,66,66,Iowa,,80,0,0,1,19,100,0,0
67,67,67,Kansas,,77,0,0,1,22,100,0,0
68,68,68,Kentucky,,78,0,0,1,21,100,0,0
69,69,69,Louisiana,,69,0,0,1,30,100,0,0
70,70,70,Maine,,76,0,0,2,22,100,0,0
71,71,71,Maryland,,74,0,0,1,25,100,0,0
72,72,72,Massachusetts,,78,0,0,1,21,100,0,0
73,73,73,Michigan,,75,0,0,2,23,100,0,0
74,74,74,Minnesota,,77,0,0,1,22,100,0,0
75,75,75,Mississippi,,76,0,0,0,24,100,0,0
76,76,76,Missouri,,71,0,0,1,28,100,0,0
77,77,77,Montana,,83,0,0,0,17,100,0,0
78,78,78,Nebraska,,75,0,0,2,23,100,0,0
79,79,79,Nevada,,73,0,0,0,27,100,0,0
80,80,80,New Hampshire,,76,0,0,1,23,100,0,0
81,81,81,New Jersey,,74,0,0,1,25,100,0,0
82,82,82,New Mexico,,79,0,0,1,20,0,0,0
83,83,83,New York,,69,0,0,1,30,100,0,0
84,84,84,North Carolina,,77,0,0,1,22,89,5,6
85,85,85,North Dakota,,73,1,0,1,25,100,0,0
86,86,86,Ohio,,77,0,0,2,21,100,0,0
87,87,87,Oklahoma,,78,0,0,1,21,100,0,0
88,88,88,Oregon,,77,0,0,1,22,100,0,0
89,89,89,Pennsylvania,,75,0,0,1,24,100,0,0
90,90,90,Rhode Island,,79,0,0,1,20,100,0,0
91,91,91,South Carolina,,78,0,0,1,21,92,0,8
92,92,92,South Dakota,,78,0,0,3,19,100,0,0
93,93,93,Tennessee,,77,0,0,1,22,100,0,0
94,94,94,Texas,,78,0,0,1,21,98,0,2
95,95,95,Utah,,77,0,0,1,22,100,0,0
96,96,96,Vermont,,81,0,0,0,19,0,0,0
97,97,97,Virginia,,77,0,0,1,22,100,0,0
98,98,98,Washington,,74,0,0,1,25,100,0,0
99,99,99,West Virginia,,79,0,0,2,19,100,0,0
100,100,100,Wisconsin,,78,0,0,1,21,100,0,0
101,101,101,Wyoming,,79,0,0,1,20,100,0,0
102,102,Alabama,,,72,0,0,2,26,0,0,0
103,103,Alaska,,,90,0,0,5,5,0,0,0
104,104,Arizona,,,73,0,0,1,26,100,0,0
105,105,Arkansas,,,84,0,0,2,14,0,0,0
106,106,California,,,72,0,0,0,28,100,0,0
107,107,Colorado,,,75,0,0,0,25,100,0,0
108,108,Connecticut,,,73,1,1,1,24,0,0,0
109,109,Delaware,,,68,0,0,3,29,100,0,0
110,110,District of Columbia,,,86,0,0,0,14,0,0,0
111,111,Florida,,,77,0,0,0,23,100,0,0
112,112,Georgia,,,70,0,0,2,28,100,0,0
113,113,Hawaii,,,81,0,0,0,19,100,0,0
114,114,Idaho,,,78,1,0,3,18,0,0,0
115,115,Illinois,,,78,0,0,1,21,100,0,0
116,116,Indiana,,,77,0,0,1,22,0,0,0
117,117,Iowa,,,69,0,1,3,27,0,0,0
118,118,Kansas,,,63,0,0,0,37,0,0,0
119,119,Kentucky,,,77,0,0,1,22,0,0,0
120,120,Louisiana,,,75,0,2,0,23,0,0,0
121,121,Maine,,,73,0,0,2,25,0,0,0
122,122,Maryland,,,75,0,0,0,25,0,0,0
123,123,Massachusetts,,,81,0,0,0,19,100,0,0
124,124,Michigan,,,74,0,0,2,24,100,0,0
125,125,Minnesota,,,77,0,1,0,22,0,0,0
126,126,Mississippi,,,59,3,0,7,31,0,0,0
127,127,Missouri,,,70,0,0,3,27,100,0,0
128,128,Montana,,,84,0,0,2,14,100,0,0
129,129,Nebraska,,,68,0,0,2,30,0,0,0
130,130,Nevada,,,71,0,0,0,29,0,0,0
131,131,New Hampshire,,,79,2,0,0,19,100,0,0
132,132,New Jersey,,,76,0,0,1,23,100,0,0
133,133,New Mexico,,,75,0,0,0,25,0,0,0
134,134,New York,,,68,0,0,1,31,100,0,0
135,135,North Carolina,,,74,0,0,1,25,0,0,0
136,136,North Dakota,,,75,0,0,0,25,0,0,0
137,137,Ohio,,,80,0,0,0,20,0,0,0
138,138,Oklahoma,,,77,0,0,3,20,100,0,0
139,139,Oregon,,,78,0,0,0,22,100,0,0
140,140,Pennsylvania,,,79,1,0,0,20,100,0,0
141,141,Rhode Island,,,84,0,0,4,12,0,0,0
142,142,South Carolina,,,68,0,0,0,32,0,0,0
143,143,South Dakota,,,76,0,6,6,12,0,0,0
144,144,Tennessee,,,76,0,0,1,23,0,0,0
145,145,Texas,,,75,0,1,1,23,100,0,0
146,146,Utah,,,77,0,1,2,20,100,0,0
147,147,Vermont,,,94,0,0,0,6,0,0,0
148,148,Virginia,,,78,0,0,0,22,100,0,0
149,149,Washington,,,74,0,0,0,26,100,0,0
150,150,West Virginia,,,81,0,2,2,15,0,0,0
151,151,Wisconsin,,,77,0,0,0,23,0,0,0
152,152,Wyoming,,,80,0,0,0,20,0,0,0
153,Alabama,,,,72,0,0,2,26,0,0,0
154,Alaska,,,,90,0,0,5,5,0,0,0
155,Arizona,,,,73,0,0,1,26,100,0,0
156,Arkansas,,,,84,0,0,2,14,0,0,0
157,California,,,,72,0,0,0,28,100,0,0
158,Colorado,,,,75,0,0,0,25,100,0,0
159,Connecticut,,,,73,1,1,1,24,0,0,0
160,Delaware,,,,68,0,0,3,29,100,0,0
161,District of Columbia,,,,86,0,0,0,14,0,0,0
162,Florida,,,,77,0,0,0,23,100,0,0
163,Georgia,,,,70,0,0,2,28,100,0,0
164,Hawaii,,,,81,0,0,0,19,100,0,0
165,Idaho,,,,78,1,0,3,18,0,0,0
166,Illinois,,,,78,0,0,1,21,100,0,0
167,Indiana,,,,77,0,0,1,22,0,0,0
168,Iowa,,,,69,0,1,3,27,0,0,0
169,Kansas,,,,63,0,0,0,37,0,0,0
170,Kentucky,,,,77,0,0,1,22,0,0,0
171,Louisiana,,,,75,0,2,0,23,0,0,0
172,Maine,,,,73,0,0,2,25,0,0,0
173,Maryland,,,,75,0,0,0,25,0,0,0
174,Massachusetts,,,,81,0,0,0,19,100,0,0
175,Michigan,,,,74,0,0,2,24,100,0,0
176,Minnesota,,,,77,0,1,0,22,0,0,0
177,Mississippi,,,,59,3,0,7,31,0,0,0
178,Missouri,,,,70,0,0,3,27,100,0,0
179,Montana,,,,84,0,0,2,14,100,0,0
180,Nebraska,,,,68,0,0,2,30,0,0,0
181,Nevada,,,,71,0,0,0,29,0,0,0
182,New Hampshire,,,,79,2,0,0,19,100,0,0
183,New Jersey,,,,76,0,0,1,23,100,0,0
184,New Mexico,,,,75,0,0,0,25,0,0,0
185,New York,,,,68,0,0,1,31,100,0,0
186,North Carolina,,,,74,0,0,1,25,0,0,0
187,North Dakota,,,,75,0,0,0,25,0,0,0
188,Ohio,,,,80,0,0,0,20,0,0,0
189,Oklahoma,,,,77,0,0,3,20,100,0,0
190,Oregon,,,,78,0,0,0,22,100,0,0
191,Pennsylvania,,,,79,1,0,0,20,100,0,0
192,Rhode Island,,,,84,0,0,4,12,0,0,0
193,South Carolina,,,,68,0,0,0,32,0,0,0
194,South Dakota,,,,76,0,6,6,12,0,0,0
195,Tennessee,,,,76,0,0,1,23,0,0,0
196,Texas,,,,75,0,1,1,23,100,0,0
197,Utah,,,,77,0,1,2,20,100,0,0
198,Vermont,,,,94,0,0,0,6,0,0,0
199,Virginia,,,,78,0,0,0,22,100,0,0
200,Washington,,,,74,0,0,0,26,100,0,0
201,West Virginia,,,,81,0,2,2,15,0,0,0
202,Wisconsin,,,,77,0,0,0,23,0,0,0
203,Wyoming,,,,80,0,0,0,20,0,0,0
Alabama,,,,,72,0,0,2,26,0,0,0
Alaska,,,,,90,0,0,5,5,0,0,0
Arizona,,,,,73,0,0,1,26,100,0,0
Arkansas,,,,,84,0,0,2,14,0,0,0
California,,,,,72,0,0,0,28,100,0,0
Colorado,,,,,75,0,0,0,25,100,0,0
Connecticut,,,,,73,1,1,1,24,0,0,0
Delaware,,,,,68,0,0,3,29,100,0,0
District of Columbia,,,,,86,0,0,0,14,0,0,0
Florida,,,,,77,0,0,0,23,100,0,0
Georgia,,,,,70,0,0,2,28,100,0,0
Hawaii,,,,,81,0,0,0,19,100,0,0
Idaho,,,,,78,1,0,3,18,0,0,0
Illinois,,,,,78,0,0,1,21,100,0,0
Indiana,,,,,77,0,0,1,22,0,0,0
Iowa,,,,,69,0,1,3,27,0,0,0
Kansas,,,,,63,0,0,0,37,0,0,0
Kentucky,,,,,77,0,0,1,22,0,0,0
Louisiana,,,,,75,0,2,0,23,0,0,0
Maine,,,,,73,0,0,2,25,0,0,0
Maryland,,,,,75,0,0,0,25,0,0,0
Massachusetts,,,,,81,0,0,0,19,100,0,0
Michigan,,,,,74,0,0,2,24,100,0,0
Minnesota,,,,,77,0,1,0,22,0,0,0
Mississippi,,,,,59,3,0,7,31,0,0,0
Missouri,,,,,70,0,0,3,27,100,0,0
Montana,,,,,84,0,0,2,14,100,0,0
Nebraska,,,,,68,0,0,2,30,0,0,0
Nevada,,,,,71,0,0,0,29,0,0,0
New Hampshire,,,,,79,2,0,0,19,100,0,0
New Jersey,,,,,76,0,0,1,23,100,0,0
New Mexico,,,,,75,0,0,0,25,0,0,0
New York,,,,,68,0,0,1,31,100,0,0
North Carolina,,,,,74,0,0,1,25,0,0,0
North Dakota,,,,,75,0,0,0,25,0,0,0
Ohio,,,,,80,0,0,0,20,0,0,0
Oklahoma,,,,,77,0,0,3,20,100,0,0
Oregon,,,,,78,0,0,0,22,100,0,0
Pennsylvania,,,,,79,1,0,0,20,100,0,0
Rhode Island,,,,,84,0,0,4,12,0,0,0
South Carolina,,,,,68,0,0,0,32,0,0,0
South Dakota,,,,,76,0,6,6,12,0,0,0
Tennessee,,,,,76,0,0,1,23,0,0,0
Texas,,,,,75,0,1,1,23,100,0,0
Utah,,,,,77,0,1,2,20,100,0,0
Vermont,,,,,94,0,0,0,6,0,0,0
Virginia,,,,,78,0,0,0,22,100,0,0
Washington,,,,,74,0,0,0,26,100,0,0
